18/03/15 05:55:14 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/15 05:55:15 INFO client.RMProxy: Connecting to ResourceManager at cluster-053a-m/10.138.0.2:8032
18/03/15 05:55:15 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/15 05:55:16 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/03/15 05:55:16 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/03/15 05:55:17 INFO input.FileInputFormat: Total input files to process : 3035
18/03/15 05:55:17 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/15 05:55:18 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1520105285817_0002
18/03/15 05:55:18 INFO impl.YarnClientImpl: Submitted application application_1520105285817_0002
18/03/15 05:55:18 INFO mapreduce.Job: The url to track the job: http://cluster-053a-m:8088/proxy/application_1520105285817_0002/
18/03/15 05:55:18 INFO mapreduce.Job: Running job: job_1520105285817_0002
18/03/15 05:55:26 INFO mapreduce.Job: Job job_1520105285817_0002 running in uber mode : false
18/03/15 05:55:26 INFO mapreduce.Job:  map 0% reduce 0%
18/03/15 05:56:19 INFO mapreduce.Job:  map 1% reduce 0%
18/03/15 05:57:30 INFO mapreduce.Job:  map 2% reduce 0%
18/03/15 05:58:41 INFO mapreduce.Job:  map 3% reduce 0%
18/03/15 05:59:51 INFO mapreduce.Job:  map 4% reduce 0%
18/03/15 06:01:01 INFO mapreduce.Job:  map 5% reduce 0%
18/03/15 06:02:09 INFO mapreduce.Job:  map 6% reduce 0%
18/03/15 06:03:20 INFO mapreduce.Job:  map 7% reduce 0%
18/03/15 06:04:32 INFO mapreduce.Job:  map 8% reduce 0%
18/03/15 06:05:41 INFO mapreduce.Job:  map 9% reduce 0%
18/03/15 06:06:48 INFO mapreduce.Job:  map 10% reduce 0%
18/03/15 06:07:55 INFO mapreduce.Job:  map 11% reduce 0%
18/03/15 06:09:03 INFO mapreduce.Job:  map 12% reduce 0%
18/03/15 06:10:10 INFO mapreduce.Job:  map 13% reduce 0%
18/03/15 06:11:16 INFO mapreduce.Job:  map 14% reduce 0%
18/03/15 06:12:25 INFO mapreduce.Job:  map 15% reduce 0%
18/03/15 06:13:28 INFO mapreduce.Job:  map 16% reduce 0%
18/03/15 06:14:39 INFO mapreduce.Job:  map 17% reduce 0%
18/03/15 06:15:41 INFO mapreduce.Job:  map 18% reduce 0%
18/03/15 06:16:51 INFO mapreduce.Job:  map 19% reduce 0%
18/03/15 06:17:59 INFO mapreduce.Job:  map 20% reduce 0%
18/03/15 06:19:09 INFO mapreduce.Job:  map 21% reduce 0%
18/03/15 06:20:14 INFO mapreduce.Job:  map 22% reduce 0%
18/03/15 06:21:19 INFO mapreduce.Job:  map 23% reduce 0%
18/03/15 06:22:24 INFO mapreduce.Job:  map 24% reduce 0%
18/03/15 06:23:28 INFO mapreduce.Job:  map 25% reduce 0%
